College Name|Branch|Category|Gender|Cutoff Rank
JNTU College of Engineering, Hyderabad|CSE|OC|M|10011
JNTU College of Engineering, Hyderabad|CSE|OC|F|4605
JNTU College of Engineering, Hyderabad|CSE|BC-A|M|6966
JNTU College of Engineering, Hyderabad|CSE|BC-A|F|10025
JNTU College of Engineering, Hyderabad|CSE|BC-B|M|2686
JNTU College of Engineering, Hyderabad|CSE|BC-B|F|11390
JNTU College of Engineering, Hyderabad|CSE|BC-C|M|9301
JNTU College of Engineering, Hyderabad|CSE|BC-C|F|7353
JNTU College of Engineering, Hyderabad|CSE|BC-D|M|1797
JNTU College of Engineering, Hyderabad|CSE|BC-D|F|8293
JNTU College of Engineering, Hyderabad|CSE|SC|M|9943
JNTU College of Engineering, Hyderabad|CSE|SC|F|2201
JNTU College of Engineering, Hyderabad|CSE|ST|M|3269
JNTU College of Engineering, Hyderabad|CSE|ST|F|5137
JNTU College of Engineering, Hyderabad|CSE|EWS|M|9289
JNTU College of Engineering, Hyderabad|CSE|EWS|F|10438
JNTU College of Engineering, Hyderabad|ECE|OC|M|11189
JNTU College of Engineering, Hyderabad|ECE|OC|F|8649
JNTU College of Engineering, Hyderabad|ECE|BC-A|M|10685
JNTU College of Engineering, Hyderabad|ECE|BC-A|F|3057
JNTU College of Engineering, Hyderabad|ECE|BC-B|M|11371
JNTU College of Engineering, Hyderabad|ECE|BC-B|F|4257
JNTU College of Engineering, Hyderabad|ECE|BC-C|M|6205
JNTU College of Engineering, Hyderabad|ECE|BC-C|F|11381
JNTU College of Engineering, Hyderabad|ECE|BC-D|M|6105
JNTU College of Engineering, Hyderabad|ECE|BC-D|F|5903
JNTU College of Engineering, Hyderabad|ECE|SC|M|7107
JNTU College of Engineering, Hyderabad|ECE|SC|F|12742
JNTU College of Engineering, Hyderabad|ECE|ST|M|12015
JNTU College of Engineering, Hyderabad|ECE|ST|F|12516
JNTU College of Engineering, Hyderabad|ECE|EWS|M|10372
JNTU College of Engineering, Hyderabad|ECE|EWS|F|11896
JNTU College of Engineering, Hyderabad|EEE|OC|M|11944
JNTU College of Engineering, Hyderabad|EEE|OC|F|7867
JNTU College of Engineering, Hyderabad|EEE|BC-A|M|8468
JNTU College of Engineering, Hyderabad|EEE|BC-A|F|10005
JNTU College of Engineering, Hyderabad|EEE|BC-B|M|12446
JNTU College of Engineering, Hyderabad|EEE|BC-B|F|10242
JNTU College of Engineering, Hyderabad|EEE|BC-C|M|6001
JNTU College of Engineering, Hyderabad|EEE|BC-C|F|13581
JNTU College of Engineering, Hyderabad|EEE|BC-D|M|11740
JNTU College of Engineering, Hyderabad|EEE|BC-D|F|12697
JNTU College of Engineering, Hyderabad|EEE|SC|M|13578
JNTU College of Engineering, Hyderabad|EEE|SC|F|6374
JNTU College of Engineering, Hyderabad|EEE|ST|M|9872
JNTU College of Engineering, Hyderabad|EEE|ST|F|6058
JNTU College of Engineering, Hyderabad|EEE|EWS|M|8697
JNTU College of Engineering, Hyderabad|EEE|EWS|F|6893
JNTU College of Engineering, Hyderabad|IT|OC|M|12296
JNTU College of Engineering, Hyderabad|IT|OC|F|11834
JNTU College of Engineering, Hyderabad|IT|BC-A|M|7104
JNTU College of Engineering, Hyderabad|IT|BC-A|F|12234
JNTU College of Engineering, Hyderabad|IT|BC-B|M|4544
JNTU College of Engineering, Hyderabad|IT|BC-B|F|10136
JNTU College of Engineering, Hyderabad|IT|BC-C|M|3501
JNTU College of Engineering, Hyderabad|IT|BC-C|F|9652
JNTU College of Engineering, Hyderabad|IT|BC-D|M|3365
JNTU College of Engineering, Hyderabad|IT|BC-D|F|3107
JNTU College of Engineering, Hyderabad|IT|SC|M|5743
JNTU College of Engineering, Hyderabad|IT|SC|F|11906
JNTU College of Engineering, Hyderabad|IT|ST|M|2830
JNTU College of Engineering, Hyderabad|IT|ST|F|3591
JNTU College of Engineering, Hyderabad|IT|EWS|M|3607
JNTU College of Engineering, Hyderabad|IT|EWS|F|3281
JNTU College of Engineering, Hyderabad|MECH|OC|M|16164
JNTU College of Engineering, Hyderabad|MECH|OC|F|14196
JNTU College of Engineering, Hyderabad|MECH|BC-A|M|15647
JNTU College of Engineering, Hyderabad|MECH|BC-A|F|9155
JNTU College of Engineering, Hyderabad|MECH|BC-B|M|13932
JNTU College of Engineering, Hyderabad|MECH|BC-B|F|14697
JNTU College of Engineering, Hyderabad|MECH|BC-C|M|11251
JNTU College of Engineering, Hyderabad|MECH|BC-C|F|11857
JNTU College of Engineering, Hyderabad|MECH|BC-D|M|7383
JNTU College of Engineering, Hyderabad|MECH|BC-D|F|7863
JNTU College of Engineering, Hyderabad|MECH|SC|M|12381
JNTU College of Engineering, Hyderabad|MECH|SC|F|11311
JNTU College of Engineering, Hyderabad|MECH|ST|M|16394
JNTU College of Engineering, Hyderabad|MECH|ST|F|14087
JNTU College of Engineering, Hyderabad|MECH|EWS|M|13574
JNTU College of Engineering, Hyderabad|MECH|EWS|F|13848
JNTU College of Engineering, Hyderabad|CIVIL|OC|M|11907
JNTU College of Engineering, Hyderabad|CIVIL|OC|F|11880
JNTU College of Engineering, Hyderabad|CIVIL|BC-A|M|15767
JNTU College of Engineering, Hyderabad|CIVIL|BC-A|F|9876
JNTU College of Engineering, Hyderabad|CIVIL|BC-B|M|12583
JNTU College of Engineering, Hyderabad|CIVIL|BC-B|F|9400
JNTU College of Engineering, Hyderabad|CIVIL|BC-C|M|16256
JNTU College of Engineering, Hyderabad|CIVIL|BC-C|F|12630
JNTU College of Engineering, Hyderabad|CIVIL|BC-D|M|9873
JNTU College of Engineering, Hyderabad|CIVIL|BC-D|F|9830
JNTU College of Engineering, Hyderabad|CIVIL|SC|M|12223
JNTU College of Engineering, Hyderabad|CIVIL|SC|F|14827
JNTU College of Engineering, Hyderabad|CIVIL|ST|M|11357
JNTU College of Engineering, Hyderabad|CIVIL|ST|F|15113
JNTU College of Engineering, Hyderabad|CIVIL|EWS|M|9141
JNTU College of Engineering, Hyderabad|CIVIL|EWS|F|17994
JNTU College of Engineering, Hyderabad|DS|OC|M|7030
JNTU College of Engineering, Hyderabad|DS|OC|F|9440
JNTU College of Engineering, Hyderabad|DS|BC-A|M|4258
JNTU College of Engineering, Hyderabad|DS|BC-A|F|7327
JNTU College of Engineering, Hyderabad|DS|BC-B|M|5330
JNTU College of Engineering, Hyderabad|DS|BC-B|F|4730
JNTU College of Engineering, Hyderabad|DS|BC-C|M|5914
JNTU College of Engineering, Hyderabad|DS|BC-C|F|12242
JNTU College of Engineering, Hyderabad|DS|BC-D|M|6550
JNTU College of Engineering, Hyderabad|DS|BC-D|F|7975
JNTU College of Engineering, Hyderabad|DS|SC|M|10117
JNTU College of Engineering, Hyderabad|DS|SC|F|7038
JNTU College of Engineering, Hyderabad|DS|ST|M|10642
JNTU College of Engineering, Hyderabad|DS|ST|F|4287
JNTU College of Engineering, Hyderabad|DS|EWS|M|9242
JNTU College of Engineering, Hyderabad|DS|EWS|F|9468
OU College of Engineering, Hyderabad|CSE|OC|M|8108
OU College of Engineering, Hyderabad|CSE|OC|F|3264
OU College of Engineering, Hyderabad|CSE|BC-A|M|4182
OU College of Engineering, Hyderabad|CSE|BC-A|F|11276
OU College of Engineering, Hyderabad|CSE|BC-B|M|9350
OU College of Engineering, Hyderabad|CSE|BC-B|F|11192
OU College of Engineering, Hyderabad|CSE|BC-C|M|9018
OU College of Engineering, Hyderabad|CSE|BC-C|F|10611
OU College of Engineering, Hyderabad|CSE|BC-D|M|1961
OU College of Engineering, Hyderabad|CSE|BC-D|F|11249
OU College of Engineering, Hyderabad|CSE|SC|M|7367
OU College of Engineering, Hyderabad|CSE|SC|F|9277
OU College of Engineering, Hyderabad|CSE|ST|M|4721
OU College of Engineering, Hyderabad|CSE|ST|F|10070
OU College of Engineering, Hyderabad|CSE|EWS|M|7806
OU College of Engineering, Hyderabad|CSE|EWS|F|7060
OU College of Engineering, Hyderabad|ECE|OC|M|4559
OU College of Engineering, Hyderabad|ECE|OC|F|3792
OU College of Engineering, Hyderabad|ECE|BC-A|M|9687
OU College of Engineering, Hyderabad|ECE|BC-A|F|9504
OU College of Engineering, Hyderabad|ECE|BC-B|M|8823
OU College of Engineering, Hyderabad|ECE|BC-B|F|7732
OU College of Engineering, Hyderabad|ECE|BC-C|M|10664
OU College of Engineering, Hyderabad|ECE|BC-C|F|3533
OU College of Engineering, Hyderabad|ECE|BC-D|M|11987
OU College of Engineering, Hyderabad|ECE|BC-D|F|3451
OU College of Engineering, Hyderabad|ECE|SC|M|7641
OU College of Engineering, Hyderabad|ECE|SC|F|6245
